datetime,DeliveryDate,type,value
2022-02-24 00:00:00,02/24/2022,North,21978.383051428224
2022-02-24 01:00:00,02/24/2022,North,21831.671373291007
2022-02-24 02:00:00,02/24/2022,North,21785.994859985356
2022-02-24 03:00:00,02/24/2022,North,22040.408783569335
2022-02-24 04:00:00,02/24/2022,North,22494.05161951904
2022-02-24 05:00:00,02/24/2022,North,23151.2063604248
2022-02-24 06:00:00,02/24/2022,North,23553.775264807133
2022-02-24 07:00:00,02/24/2022,North,23969.077188696287
2022-02-24 08:00:00,02/24/2022,North,23826.25822615966
2022-02-24 09:00:00,02/24/2022,North,24292.8273142456
2022-02-24 10:00:00,02/24/2022,North,24553.04912519532
2022-02-24 11:00:00,02/24/2022,North,24566.424761132814
2022-02-24 12:00:00,02/24/2022,North,24518.01517731933
2022-02-24 13:00:00,02/24/2022,North,24163.374543225105
2022-02-24 14:00:00,02/24/2022,North,23296.228727319336
2022-02-24 15:00:00,02/24/2022,North,23084.52034715576
2022-02-24 16:00:00,02/24/2022,North,23394.666598925774
2022-02-24 17:00:00,02/24/2022,North,23530.12613588868
2022-02-24 18:00:00,02/24/2022,North,24192.372867858885
2022-02-24 19:00:00,02/24/2022,North,24078.553151782224
2022-02-24 20:00:00,02/24/2022,North,23633.772375891112
2022-02-24 21:00:00,02/24/2022,North,22964.281625451666
2022-02-24 22:00:00,02/24/2022,North,21813.974695166016
2022-02-24 23:00:00,02/24/2022,North,20761.17074870605
2022-02-25 00:00:00,02/25/2022,North,19847.106805810552
2022-02-25 01:00:00,02/25/2022,North,19451.824050305175
2022-02-25 02:00:00,02/25/2022,North,19339.920428588866
2022-02-25 03:00:00,02/25/2022,North,19787.156839636227
2022-02-25 04:00:00,02/25/2022,North,20732.82882564697
2022-02-25 05:00:00,02/25/2022,North,22400.10487895508
2022-02-25 06:00:00,02/25/2022,North,24646.020306640632
2022-02-25 07:00:00,02/25/2022,North,25639.219088574224
2022-02-25 08:00:00,02/25/2022,North,25034.539373547366
2022-02-25 09:00:00,02/25/2022,North,24061.891707739254
2022-02-25 10:00:00,02/25/2022,North,23092.855183911135
2022-02-25 11:00:00,02/25/2022,North,22055.12323347168
2022-02-25 12:00:00,02/25/2022,North,20984.252112963866
2022-02-25 13:00:00,02/25/2022,North,20038.708118395993
2022-02-25 14:00:00,02/25/2022,North,19147.316458166504
2022-02-25 15:00:00,02/25/2022,North,18503.1825571289
2022-02-25 16:00:00,02/25/2022,North,18460.865256140136
2022-02-25 17:00:00,02/25/2022,North,18990.69200314942
2022-02-25 18:00:00,02/25/2022,North,20078.075730517583
2022-02-25 19:00:00,02/25/2022,North,20441.904021618648
2022-02-25 20:00:00,02/25/2022,North,20383.055910107425
2022-02-25 21:00:00,02/25/2022,North,19923.766222595215
2022-02-25 22:00:00,02/25/2022,North,19151.84679379883
2022-02-25 23:00:00,02/25/2022,North,18412.04377446289
2022-02-26 00:00:00,02/26/2022,North,17892.2020857788
2022-02-26 01:00:00,02/26/2022,North,17439.222560729977
2022-02-26 02:00:00,02/26/2022,North,17243.282943737788
2022-02-26 03:00:00,02/26/2022,North,17148.0744822876
2022-02-26 04:00:00,02/26/2022,North,17418.3295333374
2022-02-26 05:00:00,02/26/2022,North,17995.145941650393
2022-02-26 06:00:00,02/26/2022,North,18895.251798925783
2022-02-26 07:00:00,02/26/2022,North,19818.989736486816
2022-02-26 08:00:00,02/26/2022,North,20730.89304777832
2022-02-26 09:00:00,02/26/2022,North,21317.046923388676
2022-02-26 10:00:00,02/26/2022,North,21418.264321545408
2022-02-26 11:00:00,02/26/2022,North,21067.083411279287
2022-02-26 12:00:00,02/26/2022,North,20411.639751281746
2022-02-26 13:00:00,02/26/2022,North,19624.43681810303
2022-02-26 14:00:00,02/26/2022,North,18989.275577575685
2022-02-26 15:00:00,02/26/2022,North,18679.94938323975
2022-02-26 16:00:00,02/26/2022,North,18684.144019287105
2022-02-26 17:00:00,02/26/2022,North,19108.57603256836
2022-02-26 18:00:00,02/26/2022,North,19822.82289210205
2022-02-26 19:00:00,02/26/2022,North,19896.784017956543
2022-02-26 20:00:00,02/26/2022,North,19510.742007958987
2022-02-26 21:00:00,02/26/2022,North,18906.033370837406
2022-02-26 22:00:00,02/26/2022,North,17911.854409497068
2022-02-26 23:00:00,02/26/2022,North,17052.33598041992
2022-02-27 00:00:00,02/27/2022,North,16403.596746032712
2022-02-27 01:00:00,02/27/2022,North,16113.255106799315
2022-02-27 02:00:00,02/27/2022,North,16021.77593360596
2022-02-27 03:00:00,02/27/2022,North,16316.020352258298
2022-02-27 04:00:00,02/27/2022,North,16849.587139245607
2022-02-27 05:00:00,02/27/2022,North,17641.009689819337
2022-02-27 06:00:00,02/27/2022,North,19051.74093458252
2022-02-27 07:00:00,02/27/2022,North,20008.459409313964
2022-02-27 08:00:00,02/27/2022,North,20150.44043327637
2022-02-27 09:00:00,02/27/2022,North,19581.388966674807
2022-02-27 10:00:00,02/27/2022,North,18566.61925061035
2022-02-27 11:00:00,02/27/2022,North,17476.11833221435
2022-02-27 12:00:00,02/27/2022,North,16465.349963171386
2022-02-27 13:00:00,02/27/2022,North,15512.751085070802
2022-02-27 14:00:00,02/27/2022,North,14740.217186560061
2022-02-27 15:00:00,02/27/2022,North,14353.695569079586
2022-02-27 16:00:00,02/27/2022,North,14494.968550732427
2022-02-27 17:00:00,02/27/2022,North,15300.256754626456
2022-02-27 18:00:00,02/27/2022,North,16966.902382910157
2022-02-27 19:00:00,02/27/2022,North,17963.428412548823
2022-02-27 20:00:00,02/27/2022,North,18167.604573242184
2022-02-27 21:00:00,02/27/2022,North,17906.90705926513
2022-02-27 22:00:00,02/27/2022,North,16927.34565025635
2022-02-27 23:00:00,02/27/2022,North,15914.198672277837
2022-02-28 00:00:00,02/28/2022,North,15169.302413916019
2022-02-28 01:00:00,02/28/2022,North,14951.036898632818
2022-02-28 02:00:00,02/28/2022,North,14973.933138708497
2022-02-28 03:00:00,02/28/2022,North,15476.677506249996
2022-02-28 04:00:00,02/28/2022,North,16412.558576391602
2022-02-28 05:00:00,02/28/2022,North,18080.383143615723
2022-02-28 06:00:00,02/28/2022,North,20388.468851208487
2022-02-28 07:00:00,02/28/2022,North,21300.291701184084
2022-02-28 08:00:00,02/28/2022,North,20401.244046386724
2022-02-28 09:00:00,02/28/2022,North,18942.452389843744
2022-02-28 10:00:00,02/28/2022,North,17617.223770141605
2022-02-28 11:00:00,02/28/2022,North,16467.460521228026
2022-02-28 12:00:00,02/28/2022,North,15485.320352746578
2022-02-28 13:00:00,02/28/2022,North,14796.158809936527
2022-02-28 14:00:00,02/28/2022,North,14180.427152099604
2022-02-28 15:00:00,02/28/2022,North,13795.581077966308
2022-02-28 16:00:00,02/28/2022,North,13886.495126342767
2022-02-28 17:00:00,02/28/2022,North,14422.797937414549
2022-02-28 18:00:00,02/28/2022,North,15683.170877917486
2022-02-28 19:00:00,02/28/2022,North,16309.044122058103
2022-02-28 20:00:00,02/28/2022,North,16322.095908740232
2022-02-28 21:00:00,02/28/2022,North,15890.479826232908
2022-02-28 22:00:00,02/28/2022,North,15059.7822947876
2022-02-28 23:00:00,02/28/2022,North,14263.601366809076
2022-03-01 00:00:00,03/01/2022,North,13846.492307287592
2022-03-01 01:00:00,03/01/2022,North,13630.806215307617
2022-03-01 02:00:00,03/01/2022,North,13605.232448461911
2022-03-01 03:00:00,03/01/2022,North,13738.046746020504
2022-03-01 04:00:00,03/01/2022,North,14307.589474792481
2022-03-01 05:00:00,03/01/2022,North,15601.521305822753
2022-03-01 06:00:00,03/01/2022,North,17500.561949975592
2022-03-01 07:00:00,03/01/2022,North,18116.522500732422
2022-03-01 08:00:00,03/01/2022,North,17502.04473507081
2022-03-01 09:00:00,03/01/2022,North,16851.396710034176
2022-03-01 10:00:00,03/01/2022,North,16239.33513237305
2022-03-01 11:00:00,03/01/2022,North,15625.075320556649
2022-03-01 12:00:00,03/01/2022,North,15072.289373486326
2022-03-01 13:00:00,03/01/2022,North,14637.803538488768
2022-03-01 14:00:00,03/01/2022,North,14261.699608300782
2022-03-01 15:00:00,03/01/2022,North,13966.30534742432
2022-03-01 16:00:00,03/01/2022,North,13973.547623132317
2022-03-01 17:00:00,03/01/2022,North,14341.957598107903
2022-03-01 18:00:00,03/01/2022,North,15164.06109226074
2022-03-01 19:00:00,03/01/2022,North,15642.96940571289
2022-03-01 20:00:00,03/01/2022,North,15579.484825061032
2022-03-01 21:00:00,03/01/2022,North,15080.998390283205
2022-03-01 22:00:00,03/01/2022,North,14288.539996386722
2022-03-01 23:00:00,03/01/2022,North,13585.177369604491
2022-03-02 00:00:00,03/02/2022,North,13249.766671984868
2022-03-02 01:00:00,03/02/2022,North,13051.839030847166
2022-03-02 02:00:00,03/02/2022,North,13069.18436405029
2022-03-02 03:00:00,03/02/2022,North,13218.203906091308
2022-03-02 04:00:00,03/02/2022,North,13711.160182092284
2022-03-02 05:00:00,03/02/2022,North,14847.726618786624
2022-03-02 06:00:00,03/02/2022,North,16630.302652465823
2022-03-02 07:00:00,03/02/2022,North,17204.579582495113
2022-03-02 08:00:00,03/02/2022,North,16610.308049560554
2022-03-02 09:00:00,03/02/2022,North,15899.43652547608
2022-03-02 10:00:00,03/02/2022,North,15262.519519018557
2022-03-02 11:00:00,03/02/2022,North,14690.884728649897
2022-03-02 12:00:00,03/02/2022,North,14242.8467772583
2022-03-02 13:00:00,03/02/2022,North,13885.700236059569
2022-03-02 14:00:00,03/02/2022,North,13613.477433129881
2022-03-02 15:00:00,03/02/2022,North,13395.345403564452
2022-03-02 16:00:00,03/02/2022,North,13581.271524645997
2022-03-02 17:00:00,03/02/2022,North,13981.013652941892
2022-03-02 18:00:00,03/02/2022,North,14774.307591845709
2022-03-02 19:00:00,03/02/2022,North,15055.517270544438
2022-03-02 20:00:00,03/02/2022,North,14887.494295263674
2022-03-02 21:00:00,03/02/2022,North,14397.41882877198
2022-03-02 22:00:00,03/02/2022,North,13855.663154516596
2022-03-02 23:00:00,03/02/2022,North,13343.562152832032
2022-03-03 00:00:00,03/03/2022,North,13440.888808752445
2022-03-03 01:00:00,03/03/2022,North,13521.161427526857
2022-03-03 02:00:00,03/03/2022,North,13766.679890179435
2022-03-03 03:00:00,03/03/2022,North,13924.386825134276
2022-03-03 04:00:00,03/03/2022,North,14374.161863659669
2022-03-03 05:00:00,03/03/2022,North,15358.309960253908
2022-03-03 06:00:00,03/03/2022,North,16810.968089587404
2022-03-03 07:00:00,03/03/2022,North,17278.684570056153
2022-03-03 08:00:00,03/03/2022,North,16750.69546248779
2022-03-03 09:00:00,03/03/2022,North,16078.253422277836
2022-03-03 10:00:00,03/03/2022,North,15448.472311791984
2022-03-03 11:00:00,03/03/2022,North,14865.455717944336
2022-03-03 12:00:00,03/03/2022,North,14421.048161157227
2022-03-03 13:00:00,03/03/2022,North,14126.298456640625
2022-03-03 14:00:00,03/03/2022,North,13916.240588366696
2022-03-03 15:00:00,03/03/2022,North,13804.814092993163
2022-03-03 16:00:00,03/03/2022,North,13880.176081884769
2022-03-03 17:00:00,03/03/2022,North,14031.218903881832
2022-03-03 18:00:00,03/03/2022,North,14458.308989404297
2022-03-03 19:00:00,03/03/2022,North,14655.660536889647
2022-03-03 20:00:00,03/03/2022,North,14422.170297924811
2022-03-03 21:00:00,03/03/2022,North,13984.170426733404
2022-03-03 22:00:00,03/03/2022,North,13279.341916992184
2022-03-03 23:00:00,03/03/2022,North,12543.075197778324
2022-02-24 00:00:00,02/24/2022,South,14245.002441418463
2022-02-24 01:00:00,02/24/2022,South,14248.137208398442
2022-02-24 02:00:00,02/24/2022,South,14178.099599914553
2022-02-24 03:00:00,02/24/2022,South,14260.579211840823
2022-02-24 04:00:00,02/24/2022,South,14618.024502392584
2022-02-24 05:00:00,02/24/2022,South,15258.175395288084
2022-02-24 06:00:00,02/24/2022,South,16349.834797558591
2022-02-24 07:00:00,02/24/2022,South,16653.75122504883
2022-02-24 08:00:00,02/24/2022,South,16513.085037353518
2022-02-24 09:00:00,02/24/2022,South,16628.761114489746
2022-02-24 10:00:00,02/24/2022,South,16834.36317368164
2022-02-24 11:00:00,02/24/2022,South,16470.013248327636
2022-02-24 12:00:00,02/24/2022,South,16375.580057250978
2022-02-24 13:00:00,02/24/2022,South,15726.98165429688
2022-02-24 14:00:00,02/24/2022,South,15398.932425708008
2022-02-24 15:00:00,02/24/2022,South,15079.901202612302
2022-02-24 16:00:00,02/24/2022,South,15248.10083999024
2022-02-24 17:00:00,02/24/2022,South,15671.726799902344
2022-02-24 18:00:00,02/24/2022,South,16260.465082092285
2022-02-24 19:00:00,02/24/2022,South,16403.239454431154
2022-02-24 20:00:00,02/24/2022,South,16191.377788659667
2022-02-24 21:00:00,02/24/2022,South,15783.407280285644
2022-02-24 22:00:00,02/24/2022,South,14792.761619665525
2022-02-24 23:00:00,02/24/2022,South,13895.867113964838
2022-02-25 00:00:00,02/25/2022,South,13178.467097509763
2022-02-25 01:00:00,02/25/2022,South,12740.862418750005
2022-02-25 02:00:00,02/25/2022,South,12576.342758618164
2022-02-25 03:00:00,02/25/2022,South,12772.067225939942
2022-02-25 04:00:00,02/25/2022,South,13273.539628173825
2022-02-25 05:00:00,02/25/2022,South,14289.152134985348
2022-02-25 06:00:00,02/25/2022,South,15818.60174979248
2022-02-25 07:00:00,02/25/2022,South,16556.268461279295
2022-02-25 08:00:00,02/25/2022,South,16534.569879516603
2022-02-25 09:00:00,02/25/2022,South,16353.905577282712
2022-02-25 10:00:00,02/25/2022,South,16035.39584929199
2022-02-25 11:00:00,02/25/2022,South,15599.054731140135
2022-02-25 12:00:00,02/25/2022,South,15076.75094350586
2022-02-25 13:00:00,02/25/2022,South,14530.212498669433
2022-02-25 14:00:00,02/25/2022,South,14052.698862719728
2022-02-25 15:00:00,02/25/2022,South,13725.184623608397
2022-02-25 16:00:00,02/25/2022,South,13761.63173277588
2022-02-25 17:00:00,02/25/2022,South,14310.12897006836
2022-02-25 18:00:00,02/25/2022,South,15056.246999023437
2022-02-25 19:00:00,02/25/2022,South,15306.756814440916
2022-02-25 20:00:00,02/25/2022,South,15149.044179260254
2022-02-25 21:00:00,02/25/2022,South,14790.745997875978
2022-02-25 22:00:00,02/25/2022,South,14284.583230847167
2022-02-25 23:00:00,02/25/2022,South,13800.799106396484
2022-02-26 00:00:00,02/26/2022,South,13501.449647753912
2022-02-26 01:00:00,02/26/2022,South,13201.311585485844
2022-02-26 02:00:00,02/26/2022,South,13097.093752038578
2022-02-26 03:00:00,02/26/2022,South,13043.082022888177
2022-02-26 04:00:00,02/26/2022,South,13174.84876586914
2022-02-26 05:00:00,02/26/2022,South,13502.23478909912
2022-02-26 06:00:00,02/26/2022,South,14005.42252755127
2022-02-26 07:00:00,02/26/2022,South,14599.019328222656
2022-02-26 08:00:00,02/26/2022,South,15160.122112524416
2022-02-26 09:00:00,02/26/2022,South,15390.664434985352
2022-02-26 10:00:00,02/26/2022,South,15267.943164501952
2022-02-26 11:00:00,02/26/2022,South,14886.74656948242
2022-02-26 12:00:00,02/26/2022,South,14404.565253173829
2022-02-26 13:00:00,02/26/2022,South,13865.83501878662
2022-02-26 14:00:00,02/26/2022,South,13431.98895844727
2022-02-26 15:00:00,02/26/2022,South,13220.090424023441
2022-02-26 16:00:00,02/26/2022,South,13300.512191845704
2022-02-26 17:00:00,02/26/2022,South,13693.80750969238
2022-02-26 18:00:00,02/26/2022,South,14130.040317333984
2022-02-26 19:00:00,02/26/2022,South,14333.906682629397
2022-02-26 20:00:00,02/26/2022,South,14176.822938159175
2022-02-26 21:00:00,02/26/2022,South,13878.379963720705
2022-02-26 22:00:00,02/26/2022,South,13165.60202944336
2022-02-26 23:00:00,02/26/2022,South,12477.19933085938
2022-02-27 00:00:00,02/27/2022,South,11616.931877770996
2022-02-27 01:00:00,02/27/2022,South,10978.78361523438
2022-02-27 02:00:00,02/27/2022,South,10619.340798974608
2022-02-27 03:00:00,02/27/2022,South,10674.05303565674
2022-02-27 04:00:00,02/27/2022,South,11013.893058459478
2022-02-27 05:00:00,02/27/2022,South,11531.375152050776
2022-02-27 06:00:00,02/27/2022,South,12243.772201074218
2022-02-27 07:00:00,02/27/2022,South,13073.385029345707
2022-02-27 08:00:00,02/27/2022,South,13576.117964611816
2022-02-27 09:00:00,02/27/2022,South,13568.180427587884
2022-02-27 10:00:00,02/27/2022,South,13139.158849584956
2022-02-27 11:00:00,02/27/2022,South,12553.975018273926
2022-02-27 12:00:00,02/27/2022,South,11947.916637048338
2022-02-27 13:00:00,02/27/2022,South,11251.232797387696
2022-02-27 14:00:00,02/27/2022,South,10709.386181909185
2022-02-27 15:00:00,02/27/2022,South,10471.99984577636
2022-02-27 16:00:00,02/27/2022,South,10641.072157617182
2022-02-27 17:00:00,02/27/2022,South,11273.192245324708
2022-02-27 18:00:00,02/27/2022,South,12321.620806347655
2022-02-27 19:00:00,02/27/2022,South,13043.769702856447
2022-02-27 20:00:00,02/27/2022,South,13065.150824755863
2022-02-27 21:00:00,02/27/2022,South,12762.632044189459
2022-02-27 22:00:00,02/27/2022,South,12155.087852746581
2022-02-27 23:00:00,02/27/2022,South,11443.32652104492
2022-02-28 00:00:00,02/28/2022,South,10604.68715585938
2022-02-28 01:00:00,02/28/2022,South,10331.871484887695
2022-02-28 02:00:00,02/28/2022,South,10253.694875036625
2022-02-28 03:00:00,02/28/2022,South,10437.67894957276
2022-02-28 04:00:00,02/28/2022,South,10930.126901599117
2022-02-28 05:00:00,02/28/2022,South,11933.558450671384
2022-02-28 06:00:00,02/28/2022,South,13434.41967410889
2022-02-28 07:00:00,02/28/2022,South,14008.737084692386
2022-02-28 08:00:00,02/28/2022,South,13429.900260144035
2022-02-28 09:00:00,02/28/2022,South,12469.866178173828
2022-02-28 10:00:00,02/28/2022,South,11598.224740917967
2022-02-28 11:00:00,02/28/2022,South,10886.357432409663
2022-02-28 12:00:00,02/28/2022,South,10373.98396159668
2022-02-28 13:00:00,02/28/2022,South,10027.63012403565
2022-02-28 14:00:00,02/28/2022,South,9820.531295019533
2022-02-28 15:00:00,02/28/2022,South,9757.259955737305
2022-02-28 16:00:00,02/28/2022,South,9886.288036950687
2022-02-28 17:00:00,02/28/2022,South,10382.363683105468
2022-02-28 18:00:00,02/28/2022,South,11137.834030786133
2022-02-28 19:00:00,02/28/2022,South,11584.47125096436
2022-02-28 20:00:00,02/28/2022,South,11523.8871229248
2022-02-28 21:00:00,02/28/2022,South,11221.120175927734
2022-02-28 22:00:00,02/28/2022,South,10746.724163281244
2022-02-28 23:00:00,02/28/2022,South,10244.17442528076
2022-03-01 00:00:00,03/01/2022,South,10030.99963864746
2022-03-01 01:00:00,03/01/2022,South,9874.239840222162
2022-03-01 02:00:00,03/01/2022,South,9855.373330981443
2022-03-01 03:00:00,03/01/2022,South,9910.034574877927
2022-03-01 04:00:00,03/01/2022,South,10214.628285437017
2022-03-01 05:00:00,03/01/2022,South,10918.64716138916
2022-03-01 06:00:00,03/01/2022,South,12033.119935205077
2022-03-01 07:00:00,03/01/2022,South,12431.766175134277
2022-03-01 08:00:00,03/01/2022,South,12075.462112988276
2022-03-01 09:00:00,03/01/2022,South,11567.993860925291
2022-03-01 10:00:00,03/01/2022,South,11048.452081115724
2022-03-01 11:00:00,03/01/2022,South,10585.494518041996
2022-03-01 12:00:00,03/01/2022,South,10241.423909704588
